23, 0
46, 0
67, 0
90, 0
162, 1
185, 0
208, 0
231, 0
252, 0
275, 0
298, 0
321, 0
372, 1
395, 0
469, 1
520, 1
541, 0
564, 0
585, 0
606, 0
629, 0
652, 0
673, 0
696, 0
719, 0
742, 0
765, 0
788, 0
811, 0
834, 0
857, 0
880, 0
901, 0
924, 0
947, 0
970, 0
993, 0
1016, 0
1039, 0
1062, 0
1113, 1
1136, 0
1208, 1
1231, 0
1254, 0
1277, 0
1328, 1
1351, 0
1374, 0
1445, 1
1468, 0
1491, 0
1512, 0
1535, 0
1558, 0
1581, 0
1653, 1
1676, 0
1699, 0
1722, 0
1745, 0
1768, 0
1791, 0
1814, 0
1835, 0
1858, 0
1881, 0
1902, 0
1923, 0
1946, 0
1969, 0
1992, 0
2015, 0
2038, 0
2061, 0
2084, 0
2107, 0
2130, 0
2153, 0
2176, 0
2199, 0
2222, 0
2243, 0
2361, 2
2384, 0
2407, 0
2428, 0
2496, 1
2519, 0
2542, 0
2640, 2
2712, 1
2763, 1
2834, 1
2906, 1
2929, 0
2952, 0
2975, 0
3024, 1
3047, 0
3070, 0
3093, 0
3160, 1
3211, 1
3234, 0
3257, 0
3280, 0
3349, 1
3421, 1
3444, 0
3467, 0
3490, 0
3511, 0
3534, 0
3557, 0
3580, 0
3603, 0
3626, 0
3649, 0
3670, 0
3739, 1
3760, 0
3832, 1
3855, 0
4023, 3
4046, 0
4067, 0
4090, 0
4141, 1
4241, 2
4292, 1
4315, 0
4338, 0
4361, 0
4384, 0
4407, 0
4428, 0
4451, 0
4474, 0
4495, 0
4564, 1
4585, 0
4657, 1
4830, 3
4905, 1
4974, 1
4995, 0
5018, 0
5137, 2
5209, 1
5232, 0
5255, 0
5276, 0
5297, 0
5320, 0
5343, 0
5366, 0
5389, 0
5456, 1
5479, 0
5502, 0
5525, 0
5548, 0
5644, 2
5667, 0
5690, 0
5713, 0
5762, 1
5785, 0
5808, 0
5861, 1
5884, 0
5907, 0
5930, 0
5951, 0
5974, 0
6025, 1
6121, 2
6144, 0
6165, 0
6188, 0
6211, 0
6234, 0
6257, 0
6280, 0
6303, 0
6324, 0
6345, 0
6441, 2
6464, 0
6487, 0
